model,n_train,seed,test_spearman_avg,run_dir
evo_35m,50,0,0.2723729585293799,/cluster/scratch/mdenegri/protein-design/train/lowdata_evo_35m_n50_s0_20260623_103417
evo_35m,50,1,0.2690192657477845,/cluster/scratch/mdenegri/protein-design/train/lowdata_evo_35m_n50_s1_20260623_103411
evo_35m,50,2,0.2695066902858325,/cluster/scratch/mdenegri/protein-design/train/lowdata_evo_35m_n50_s2_20260623_103417
evo_35m,100,0,0.27757727754413636,/cluster/scratch/mdenegri/protein-design/train/lowdata_evo_35m_n100_s0_20260623_103411
evo_35m,100,1,0.29167752257633256,/cluster/scratch/mdenegri/protein-design/train/lowdata_evo_35m_n100_s1_20260623_103417
evo_35m,100,2,0.2722829868640544,/cluster/scratch/mdenegri/protein-design/train/lowdata_evo_35m_n100_s2_20260623_103411
evo_35m,200,0,0.2798850701146281,/cluster/scratch/mdenegri/protein-design/train/lowdata_evo_35m_n200_s0_20260623_103411
evo_35m,200,1,0.22053062544938623,/cluster/scratch/mdenegri/protein-design/train/lowdata_evo_35m_n200_s1_20260623_103441
evo_35m,200,2,0.24061183422013419,/cluster/scratch/mdenegri/protein-design/train/lowdata_evo_35m_n200_s2_20260623_103449
evo_35m,500,0,0.2560969783868121,/cluster/scratch/mdenegri/protein-design/train/lowdata_evo_35m_n500_s0_20260623_103441
evo_35m,500,1,0.3917950218640397,/cluster/scratch/mdenegri/protein-design/train/lowdata_evo_35m_n500_s1_20260623_103441
evo_35m,500,2,0.3262781265094637,/cluster/scratch/mdenegri/protein-design/train/lowdata_evo_35m_n500_s2_20260623_103443
evo_35m,1000,0,0.4105063810772708,/cluster/scratch/mdenegri/protein-design/train/lowdata_evo_35m_n1000_s0_20260623_103520
evo_35m,1000,1,0.32449757543135377,/cluster/scratch/mdenegri/protein-design/train/lowdata_evo_35m_n1000_s1_20260623_103516
evo_35m,1000,2,0.3875478278134146,/cluster/scratch/mdenegri/protein-design/train/lowdata_evo_35m_n1000_s2_20260623_103737
evo_35m,2000,0,0.44884429522503794,/cluster/scratch/mdenegri/protein-design/train/lowdata_evo_35m_n2000_s0_20260623_103514
evo_35m,2000,1,0.472441704276088,/cluster/scratch/mdenegri/protein-design/train/lowdata_evo_35m_n2000_s1_20260623_103855
evo_35m,2000,2,0.38221991766302726,/cluster/scratch/mdenegri/protein-design/train/lowdata_evo_35m_n2000_s2_20260623_104011
evo_35m,5000,0,0.44214110954023356,/cluster/scratch/mdenegri/protein-design/train/lowdata_evo_35m_n5000_s0_20260623_103724
evo_35m,5000,1,0.4941622010882844,/cluster/scratch/mdenegri/protein-design/train/lowdata_evo_35m_n5000_s1_20260623_103822
evo_35m,5000,2,0.40965343359954637,/cluster/scratch/mdenegri/protein-design/train/lowdata_evo_35m_n5000_s2_20260623_103823
evo_c05_blosum25,50,0,0.3191768890681717,/cluster/scratch/mdenegri/protein-design/train/lowdata_evo_c05_blosum25_n50_s0_20260623_112721
evo_c05_blosum25,50,1,0.3005495156467897,/cluster/scratch/mdenegri/protein-design/train/lowdata_evo_c05_blosum25_n50_s1_20260623_112835
evo_c05_blosum25,50,2,0.3110348112710346,/cluster/scratch/mdenegri/protein-design/train/lowdata_evo_c05_blosum25_n50_s2_20260623_112942
