model,n_train,mean,std,n_repeats
evo_35m,50,0.27029963818766567,0.0018120123066904235,3
evo_35m,100,0.28051259566150777,0.010024922603757844,3
evo_35m,200,0.2470091765947162,0.030189932386029475,3
evo_35m,500,0.32472337558677183,0.06786238051166932,3
evo_35m,1000,0.3741839281073464,0.04453452619793625,3
evo_35m,2000,0.43450197238805105,0.04678962879937641,3
evo_35m,5000,0.4486522480760214,0.042628970658351154,3
evo_c05_blosum25,50,0.3102537386619987,0.009338218029171393,3
evo_c05_blosum25,100,0.30996034801364397,0.0035554014927748636,3
evo_c05_blosum25,200,0.31385742382109955,0.0070395375930441895,3
evo_c05_blosum25,500,0.32627557949669184,0.025443837241395505,3
evo_c05_blosum25,1000,0.38103544166151426,0.02769615338155809,3
evo_c05_blosum25,2000,0.436108085995363,0.043500986077650385,3
evo_c05_blosum25,5000,0.5030195760144078,0.015521093993729496,3
vanilla_35m,50,-0.22233370563960353,0.007534951748592629,3
vanilla_35m,100,-0.22160303635635245,0.0290450731963007,3
vanilla_35m,200,-0.21070932571446654,0.04729592410708471,3
vanilla_35m,500,0.011940885865440266,0.04502067207348263,3
vanilla_35m,1000,0.007390785289134648,0.052237970092734745,3
vanilla_35m,2000,0.3473661210089352,0.0813138582972861,3
vanilla_35m,5000,0.4539110367029285,0.027933890522963783,3
