model,label,dataset,n_train,ridge_spearman_mean,ridge_spearman_std,n_repeats
vanilla_650m,ESM2-650M,ed2_m22,25,0.09825909854664985,0.02652059507281763,5
vanilla_650m,ESM2-650M,ed2_m22,50,0.16064778145653805,0.015380109842363803,5
vanilla_650m,ESM2-650M,ed2_m22,100,0.20748852340467713,0.01253411700688689,5
vanilla_650m,ESM2-650M,ed2_m22,200,0.27431405509222395,0.021259320349740138,5
vanilla_650m,ESM2-650M,ed2_m22,500,0.3558905161814813,0.008822839139959522,5
vanilla_650m,ESM2-650M,ed2_m22,1000,0.4109550249225248,0.010009128285352761,5
vanilla_650m,ESM2-650M,ed2_m22,2000,0.4492155056842312,0.00545961571652613,5
vanilla_650m,ESM2-650M,ed2_m22,5000,0.48844505476579636,0.003718263683830094,5
vanilla_650m,ESM2-650M,ed5_m22,25,0.4024979645623742,0.025493870121364667,5
vanilla_650m,ESM2-650M,ed5_m22,50,0.43846906784573425,0.035647215606845445,5
vanilla_650m,ESM2-650M,ed5_m22,100,0.5685977023808746,0.02812140601616731,5
vanilla_650m,ESM2-650M,ed5_m22,200,0.6427163187663747,0.02662743039747883,5
vanilla_650m,ESM2-650M,ed5_m22,500,0.6936482711556895,0.007981111523350128,5
vanilla_650m,ESM2-650M,ed5_m22,1000,0.7138421729812527,0.005336923338585124,5
vanilla_650m,ESM2-650M,ed5_m22,2000,0.7333469946069758,0.002277494902666601,5
vanilla_650m,ESM2-650M,ed5_m22,5000,0.7471330862162543,0.0015329626019232405,5
vanilla_650m,ESM2-650M,ed811_m22,25,0.29483987035274445,0.0654099858483325,5
vanilla_650m,ESM2-650M,ed811_m22,50,0.3961824625910908,0.024394420602709712,5
vanilla_650m,ESM2-650M,ed811_m22,100,0.4604423239934432,0.06999203455899287,5
vanilla_650m,ESM2-650M,ed811_m22,200,0.5228645619797019,0.010316742072315095,5
vanilla_650m,ESM2-650M,ed811_m22,500,0.5686649398195914,0.011132706082629187,5
vanilla_650m,ESM2-650M,ed811_m22,1000,0.5958611970957487,0.011947860195063787,5
vanilla_650m,ESM2-650M,ed811_m22,2000,0.6252541514711455,0.0028647213506537185,5
vanilla_650m,ESM2-650M,ed811_m22,5000,0.6508581340876132,0.002232389877203384,5
vanilla_650m,ESM2-650M,ed2_si06,25,0.07282239543475486,0.06722626768188805,5
vanilla_650m,ESM2-650M,ed2_si06,50,0.13931037620196132,0.03946503345579543,5
vanilla_650m,ESM2-650M,ed2_si06,100,0.24728648096805744,0.040262503587638866,5
vanilla_650m,ESM2-650M,ed2_si06,200,0.2772887597456582,0.030087306481708292,5
vanilla_650m,ESM2-650M,ed2_si06,500,0.39187357139121576,0.027511470222730827,5
vanilla_650m,ESM2-650M,ed2_si06,1000,0.4712654220764727,0.011731247162398182,5
vanilla_650m,ESM2-650M,ed2_si06,2000,0.518862916892879,0.00515884401521736,5
vanilla_650m,ESM2-650M,ed2_si06,5000,0.5590430678182878,0.0025206742989611255,5
vanilla_650m,ESM2-650M,ed5_si06,25,0.39640420847530283,0.11287596752923917,5
vanilla_650m,ESM2-650M,ed5_si06,50,0.48438214202731755,0.04687565652889498,5
vanilla_650m,ESM2-650M,ed5_si06,100,0.5337718268348194,0.06265410780086182,5
vanilla_650m,ESM2-650M,ed5_si06,200,0.6182950262130136,0.017761526631653837,5
vanilla_650m,ESM2-650M,ed5_si06,500,0.6686276928238903,0.006784807081098823,5
vanilla_650m,ESM2-650M,ed5_si06,1000,0.6941144716377028,0.0044200393728158795,5
vanilla_650m,ESM2-650M,ed5_si06,2000,0.7037763877317612,0.004823109056415703,5
vanilla_650m,ESM2-650M,ed5_si06,5000,0.7164570250195414,0.0020821997974973146,5
vanilla_650m,ESM2-650M,exp,25,0.11148576248918989,0.056201622947519236,5
vanilla_650m,ESM2-650M,exp,50,0.15383211963907567,0.03603336276365029,5
vanilla_650m,ESM2-650M,exp,100,0.24548228550486448,0.034464240129225,5
vanilla_650m,ESM2-650M,exp,200,0.30518929257955696,0.01926927546282755,5
vanilla_650m,ESM2-650M,exp,500,0.3958857747414245,0.019063851914535957,5
vanilla_650m,ESM2-650M,exp,1000,0.47032589393172425,0.010153676676292873,5
vanilla_650m,ESM2-650M,exp,2000,0.5291132551331803,0.01118166661049167,5
vanilla_650m,ESM2-650M,exp,5000,0.586020140840051,0.009068839742445467,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed2_m22,25,0.14867348770114436,0.05555531275605103,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed2_m22,50,0.222149883824493,0.04142056893420429,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed2_m22,100,0.23416947838971716,0.03135157672620126,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed2_m22,200,0.2735788631926246,0.018103614666130956,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed2_m22,500,0.32508711187648043,0.01134617898206553,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed2_m22,1000,0.36851646477654926,0.003808714684577002,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed2_m22,2000,0.40551322862487427,0.0032693417681097098,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed2_m22,5000,0.46896395657101164,0.002459493893465333,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed5_m22,25,0.43946632649062867,0.030412126259604825,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed5_m22,50,0.47142536187050155,0.054682880235401764,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed5_m22,100,0.576002747943309,0.027850777177577307,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed5_m22,200,0.6095589317430377,0.01956483312961996,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed5_m22,500,0.65186333357662,0.009322722159003923,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed5_m22,1000,0.6663943961665051,0.005652062749807703,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed5_m22,2000,0.7053776040246386,0.002267977622594155,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed5_m22,5000,0.734686740584999,0.001749198149853512,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed811_m22,25,0.3603947913312139,0.09486660257113332,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed811_m22,50,0.41220410922577777,0.0322061596707531,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed811_m22,100,0.4665566934374974,0.05783431558877557,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed811_m22,200,0.5150607637671876,0.01937116208502717,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed811_m22,500,0.5271247480929013,0.013347192436506436,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed811_m22,1000,0.5148949344867787,0.010838023510324462,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed811_m22,2000,0.5652749852989143,0.0028109028038770015,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed811_m22,5000,0.6325570351850677,0.0017413522294931697,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed2_si06,25,0.11075927023946211,0.0763340601158335,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed2_si06,50,0.2401605856682409,0.05832967226365195,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed2_si06,100,0.3008496964624968,0.03956011128729912,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed2_si06,200,0.31765859122227846,0.034505258499680835,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed2_si06,500,0.3737140026548473,0.013126868733593644,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed2_si06,1000,0.4290473028839655,0.013130277332445733,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed2_si06,2000,0.47722121508024573,0.004854599381025007,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed2_si06,5000,0.5380593578685069,0.0020656655519967924,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed5_si06,25,0.4083353868376358,0.09026700427763756,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed5_si06,50,0.5018984163836271,0.03423333011009377,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed5_si06,100,0.5443776388207867,0.03551604565334284,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed5_si06,200,0.5900006189254628,0.011272571830590515,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed5_si06,500,0.6381715165901911,0.006237862367872692,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed5_si06,1000,0.6616297660426345,0.003960664609288009,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed5_si06,2000,0.6865244461728632,0.005216589366278626,5
evo_c05_cdrmix,C05 cdrmix (best.pt),ed5_si06,5000,0.7065624246261912,0.00313354822647101,5
evo_c05_cdrmix,C05 cdrmix (best.pt),exp,25,0.17877882971788117,0.028026690557378234,5
evo_c05_cdrmix,C05 cdrmix (best.pt),exp,50,0.19153773999950516,0.031091945453278626,5
evo_c05_cdrmix,C05 cdrmix (best.pt),exp,100,0.2633933219077117,0.033022641888718396,5
evo_c05_cdrmix,C05 cdrmix (best.pt),exp,200,0.2745496946802456,0.03545097428207152,5
evo_c05_cdrmix,C05 cdrmix (best.pt),exp,500,0.3619675116884118,0.02318368895052559,5
evo_c05_cdrmix,C05 cdrmix (best.pt),exp,1000,0.42713207233409156,0.013806093036664009,5
evo_c05_cdrmix,C05 cdrmix (best.pt),exp,2000,0.47573839395052897,0.0060924812722868375,5
evo_c05_cdrmix,C05 cdrmix (best.pt),exp,5000,0.549018981549523,0.0037551161452876068,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed2_m22,25,0.14766320028835087,0.048004157652922035,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed2_m22,50,0.2301498733676052,0.036803129206951266,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed2_m22,100,0.2394014249266158,0.02367413413380971,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed2_m22,200,0.2721846567561274,0.021147852991079654,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed2_m22,500,0.32221210510606085,0.017121684567867345,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed2_m22,1000,0.3744358002030078,0.009447774856190144,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed2_m22,2000,0.4077489627245048,0.006877545097034849,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed2_m22,5000,0.4681520789379981,0.0029975869893576743,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed5_m22,25,0.41758185752232463,0.020046225863946384,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed5_m22,50,0.46651246213222725,0.06571503343461707,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed5_m22,100,0.5677459864534911,0.025110390071722513,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed5_m22,200,0.6116710950836121,0.018359985231906278,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed5_m22,500,0.6516249568695288,0.011473135859967334,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed5_m22,1000,0.6740890109906029,0.005434392939093961,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed5_m22,2000,0.7071536113133164,0.002083889848339464,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed5_m22,5000,0.7351120558575681,0.001747579423904383,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed811_m22,25,0.3521148904184429,0.10890141903228999,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed811_m22,50,0.40767295835497064,0.044568960364789065,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed811_m22,100,0.4708139067377964,0.04961266194967615,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed811_m22,200,0.5147253888819163,0.017769615882840983,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed811_m22,500,0.5292735731012482,0.009639267801779894,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed811_m22,1000,0.5220961064711915,0.013893525803531075,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed811_m22,2000,0.5686744878784229,0.0057487394061957195,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed811_m22,5000,0.6336221084514211,0.0022622789632328064,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed2_si06,25,0.10928424806023943,0.07215515074685326,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed2_si06,50,0.2298507011977949,0.05894415031880768,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed2_si06,100,0.3049942669121455,0.03240060852516024,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed2_si06,200,0.31204330041177764,0.03316891127913927,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed2_si06,500,0.37475077614771707,0.01788391916223669,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed2_si06,1000,0.4287951181580967,0.009428933209159857,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed2_si06,2000,0.4749480904796345,0.00826675708113677,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed2_si06,5000,0.5376236254185299,0.0011021339063534384,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed5_si06,25,0.4010779880847314,0.09742594697257309,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed5_si06,50,0.5065875277774793,0.030252158030524424,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed5_si06,100,0.5389776456176355,0.037548735143914096,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed5_si06,200,0.5882153787067605,0.011113668527726214,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed5_si06,500,0.6405552646764768,0.007901157935685774,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed5_si06,1000,0.6644765774033948,0.004100408885313368,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed5_si06,2000,0.6882183347507025,0.003272860364910764,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),ed5_si06,5000,0.7080363119269595,0.00308392262768519,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),exp,25,0.1694271985536592,0.02034589911484114,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),exp,50,0.1913290199690393,0.03255675808661287,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),exp,100,0.2606361242233539,0.0332260733869277,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),exp,200,0.28603124478447056,0.03374265680594683,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),exp,500,0.36795474451297955,0.011038254590474167,5
evo_c05_cdrmix_spearman,C05 cdrmix (best-Spearman),exp,1000,0.43037262423030054,0.017085108417691442,5
