model,label,dataset,n_train,ridge_spearman_mean,ridge_spearman_std,n_repeats
vanilla_35m,ESM2-35M,ed2_m22,25,0.08384994150841737,0.03859626361610454,20
vanilla_35m,ESM2-35M,ed2_m22,50,0.1361388198862235,0.04273351346047086,20
vanilla_35m,ESM2-35M,ed2_m22,100,0.19450770068690834,0.0337520380179821,20
vanilla_35m,ESM2-35M,ed2_m22,200,0.2719124199157713,0.02294994823910268,20
vanilla_35m,ESM2-35M,ed2_m22,500,0.36035428696653593,0.016101159487667573,20
vanilla_35m,ESM2-35M,ed2_m22,1000,0.4077700271186374,0.009124466822176254,20
vanilla_35m,ESM2-35M,ed2_m22,2000,0.4442053164365043,0.005087941716154725,20
vanilla_35m,ESM2-35M,ed2_m22,5000,0.4739237275978936,0.003270542518495303,20
vanilla_35m,ESM2-35M,ed5_m22,25,0.32870958512909315,0.08786738057167749,20
vanilla_35m,ESM2-35M,ed5_m22,50,0.44113185635640184,0.052260517080184955,20
vanilla_35m,ESM2-35M,ed5_m22,100,0.5748346439628864,0.03182968842543439,20
vanilla_35m,ESM2-35M,ed5_m22,200,0.6460762649997741,0.0208214735898927,20
vanilla_35m,ESM2-35M,ed5_m22,500,0.7034630818913221,0.006320522279718372,20
vanilla_35m,ESM2-35M,ed5_m22,1000,0.7210325170994973,0.005481748404986046,20
vanilla_35m,ESM2-35M,ed5_m22,2000,0.7352500593097508,0.0026901208434967103,20
vanilla_35m,ESM2-35M,ed5_m22,5000,0.7426653986715788,0.0015702678811442515,20
vanilla_35m,ESM2-35M,ed811_m22,25,0.2651907313293379,0.07862673228957842,20
vanilla_35m,ESM2-35M,ed811_m22,50,0.367546948762947,0.051287542831882624,20
vanilla_35m,ESM2-35M,ed811_m22,100,0.452878453622697,0.04577259376894824,20
vanilla_35m,ESM2-35M,ed811_m22,200,0.5040533035237096,0.02891115117728851,20
vanilla_35m,ESM2-35M,ed811_m22,500,0.5715231788354023,0.012724222900451549,20
vanilla_35m,ESM2-35M,ed811_m22,1000,0.6086855898468864,0.006460817153084889,20
vanilla_35m,ESM2-35M,ed811_m22,2000,0.6314610526379416,0.003952754179396038,20
vanilla_35m,ESM2-35M,ed811_m22,5000,0.6489137761035202,0.0015083477802175383,20
vanilla_35m,ESM2-35M,ed2_si06,25,0.11045928058005379,0.07580307906716131,20
vanilla_35m,ESM2-35M,ed2_si06,50,0.168911814627486,0.034407789971258144,20
vanilla_35m,ESM2-35M,ed2_si06,100,0.25708836707604377,0.02988020267973961,20
vanilla_35m,ESM2-35M,ed2_si06,200,0.3186063868329157,0.031765928973358885,20
vanilla_35m,ESM2-35M,ed2_si06,500,0.4146386459604626,0.02196480512056944,20
vanilla_35m,ESM2-35M,ed2_si06,1000,0.47142975201679754,0.010806128055043341,20
vanilla_35m,ESM2-35M,ed2_si06,2000,0.5057010546383419,0.006718334649974731,20
vanilla_35m,ESM2-35M,ed2_si06,5000,0.5322938863782096,0.004060057638418284,20
vanilla_35m,ESM2-35M,ed5_si06,25,0.3706423793126428,0.07147765668551402,20
vanilla_35m,ESM2-35M,ed5_si06,50,0.45506261369844514,0.054697926054815924,20
vanilla_35m,ESM2-35M,ed5_si06,100,0.5559590950042245,0.04636950384199028,20
